"product_name,dosage_form,dosage_form_colour,dosage_form_shape,dosage_form_marking,adulterant_type,manufacturer_name,manufacturer_country"
"HongKong Ren He Tong Brand Lang Wang 3000mg Tablet (香港仁和堂牌狼王),Nil,Blue,Diamond,Yes,Sildenafil,Xiang Gang Ren He Tang Sheng Wu Yan Fa You Xian Gong Si (香港仁和堂生物研发有限公司),Hong Kong"
"Miraculous Evil Root 1200mg Tablet (神奇魔根),Nil,Yellow,Teardrop,Yes,Sildenafil,Tibet jin wei long Health Medicine Co. Ltd (西藏金威龙保健品有限公司),China"
"Mei Guo Lan Jing Ling (美国蓝精灵) (Green),Capsule,Green,Oblong,No,Sibutramine;Sildenafil,Xiang Gang Ai De Sheng Wu Ji Shu You Xian Gong Si (香港艾得生物技术有限公司),Hong Kong"
"Mei Guo Lan Jing Ling (美国蓝精灵) (Red),Capsule,Red,Oblong,No,Sibutramine;Sildenafil,Xiang Gang Ai De Sheng Wu Ji Shu You Xian Gong Si (香港艾得生物技术有限公司),Hong Kong"
"Li Long Brand Mei Guo Mo Bang 2500mg Capsule (力龙牌美国魔棒),Capsule,Green,Oblong,Yes,Sildenafil,Xi Zang La Sa Shi Li Long Sheng Wu Ji Shu You Xian Gong Si (西藏拉萨市力龙生物技术有限公司),China"
"Li Long Brand Mei Guo Zhan Shen 2500mg Capsule (力龙牌美国战神),Capsule,Beige;Red,Oblong,No,Lignocaine;Sildenafil;Tadalafil,Xi Zang La Sa Shi Li Long Sheng Wu Ji Shu You Xian Gong Si (西藏拉萨市力龙生物技术有限公司),China"
"Ju He Tang Brand Mei Guo Zhan Shen 1000mg Tablet (巨和堂牌美国战神 1000mg),Nil,Black,Oblong,Yes,Sildenafil;Vardenafil,Xiang Gang Ke Long Ke Ji You Xian Gong Si (香港科龙科技有限公司),China"
"Tong Le Tang Brand America Viagia 2000mg Tablet (同乐堂牌美国战神),Nil,Brown,Oblong,Yes,Piperiacetildenafil;Sildenafil;Vardenafil,Hai Nan Xin Bei Le Sheng Wu Ke Ji You Xian Gong Si (海南新贝乐生物科技有限公司),China"
"Baolong Brand USA Zhanshen 2000mg Capsule (寶龍牌美国战神),Capsule,Maroon,Oblong,No,Sildenafil,Nil,Nil"
"Tai He Tang Brand Mei Guo Zhan Shen 1800mg Tablet (太和堂牌美国战神),Nil,Brown,Oblong,Yes,Sildenafil,Xiang Gang Tai He Tang Sheng Wu Gong Cheng You Xian Gong Si (香港太和堂生物工程有限公司),Hong Kong"
"Mo General (猛男魔根),Nil,Beige,Teardrop,Yes,Sildenafil,Xi Zang La Sa Shi Duo De Sheng Wu Zhi Pin Gong Si (西藏拉萨市多得生物制品公司),China"
"Mei Guo Zhan Shen Wai Yong Shen You (美国战神外用神油),Liquid (External Use),Brown,Nil,No,Lignocaine;Verapamil,Xi Zang Mei Long Bao Jian Pin You Xian Gong Si (西藏美龙保健品有限公司),China"
"Midnight Express Men Lasting Cologne,Liquid (External Use),Brown,Nil,No,Lignocaine,Nil,Nil"
"Meng Hu Bei Zeng Capsule (猛虎倍增),Capsule,Red,Oblong,No,Sildenafil,Nil,Nil"
"Migino Capsule (美人露),Capsule,Transparent,Oblong,No,Lignocaine,Nil,Nil"
"Luquan Brand Nangen Zengzhangsu 0.4g Capsule (鹿泉牌男根增长素),Capsule,Beige;Red,Oblong,No,Sildenafil,Zhong Mei He Zi He Bei Lu Quan Sheng Wu Gong Cheng You Xian Gong Si (中美合资河北鹿泉生物工程有限公司),Nil"
"Jin Huang Jin Brand Nan Gen Jing Hua Su 1800mg Capsule (金黄金牌男根精华素),Capsule,Blue;White,Oblong,No,Sildenafil,Xiang Gang Jin Huang Jin Ke Ji Kai Fa You Xian Gong Si (香港金黄金科技开发有限公司),China"
"Power 1 Walnut 100mg Tablet (动力一号核桃素片) (Green),Nil,Green,Oblong,Yes,Sildenafil,广州新快力企业有限公司,China"
"Power 1 Walnut 500mg Tablet (动力一号核桃素片) (Pink),Nil,Pink,Oblong,Yes,Glibenclamide;Sildenafil,Nil,Nil"
"Power 1 Walnut 500mg Tablet (动力一号核桃素片) (Blue),Nil,Blue,Oblong,Yes,Sildenafil,Nil,Nil"
"Posh For Men Only Capsule (寳士情人秘膏),Liquid (External Use),Transparent,Oblong,No,Lignocaine,Nil,Nil"
"Jin Sheng Li Brand Qiang Gen Bao Jiao Nang 500mg (金聖力牌强根宝胶囊),Capsule,Green,Oblong,No,Sildenafil,Xi Zang Jin Sheng Li Bao Jian Pin You Xian Gong Si (西藏金聖力保健品有限公司),Nil"
"Sheng Yang Brand Qiang Shen Xiao Jin Wan 3g (升阳牌强肾小金丸),Pill,Black,Round,No,Sildenafil,Tibetan Health-Care Association &quot;Sheng Yang&quot; (西藏升阳保健品有限公司),China"
"HongKong Ren He Tong Brand Real Man 3000mg Tablet,Nil,Yellow,Diamond,Yes,Sildenafil,Hong Kong RenHeTong Biological Research Limited,Hong Kong"
"Sheng Yang Brand Super Penis 1800mg Capsule (升阳牌超级男根),Capsule,Gold,Oblong,No,Sildenafil,Shengyang HealthCare Corporation of Tibet (西藏升阳保健品有限公司),Nil"
"Li Long Brand Shen Bai Jin Sheng Li Jiao Nang 2800mg (力龙牌腎白金生力胶囊),Capsule,Blue;White,Oblong,Yes,Sildenafil,Xi Zang La Sa Shi Li Long Sheng Wu Zhi Pin Gong Si (西藏拉萨市力龙生物制品公司),China"
"YiZheng Brand Super Cialis 1600mg Tablet (一正超级西力士),Nil,Yellow,Teardrop,Yes,Sildenafil,Xiang Gang Yi Zheng Yao Ye Ji Tuan You Xian Gong Si (香港一正药业集团有限公司),Hong Kong"
"Natural Wei-Ge (天然威哥),Capsule,Transparent,Oblong,No,Acetic Acid;Acetildenafil;Carbodenafil,航天红外激光专科医院,Nil"
"Tianxiong Brand Super Is Fierce Male 8000mg Capsule (天雄牌超级猛男),Capsule,White,Oblong,Yes,Sildenafil,Ethumax Pharmaceutical company Frankfurt Germany (香港天雄医药生物技术有限公司),Nil"
"Santi Scalper Penis Erection 0.3g Capsule (三體牛鞭勃動力胶囊),Capsule,Blue;White,Oblong,Yes,Glibenclamide;Sibutramine;Sildenafil,An Hui San Ti Yi Yao Bao Jian Pin Gong Si (安徽三體醫藥保健品公司),China"
"Jin Sheng Li Shi Bian Wang 1000mg Tablet (金聖力十鞭王),Nil,Blue,Diamond,Yes,Sildenafil,Xi Zang Jin Sheng Li Bao Jian Pin You Xian Gong Si (西藏金圣力保健品有限公司),Nil"
"Xin Yi Dai San Ti Niu Bian Bo Dong Li Jiao Nang 0.3g (新一代三體牛鞭勃動力膠囊),Capsule,Blue;White,Oblong,Yes,Sildenafil,An Hui San Ti Yi Yao Bao Jian Pin Gong Si (安徽三體醫藥保健品公司),China"
"18 Spring Gel (十八春催情缩阴精华素),Gel,Transparent,Nil,No,Sildenafil,Nil,Nil"
"Samsu Super Oil,Liquid (External Use),Brown,Nil,No,Lignocaine,PD Samsu,Indonesia"
"Sheng Jing Pian (生精片),Nil,Black,Teardrop,Yes,Sildenafil,Nil,Nil"
"Spanish Fly 10ml Liquid,Liquid (Internal Use),Nil,Nil,No,Tadalafil,Nil,Nil"
"Sex Fairy Female Sexual Appetite Powder 3g (性精灵),Powder (Internal Use),White,Nil,No,Lignocaine,Nil,Nil"
"Tanduk Rusa Kuat Lelaki Approdisiak & Anti Impotensi 500mg Kapsul,Capsule,Maroon,Oblong,No,Sildenafil,PJ. Multi Sari Manjur Banjarmasin Kalsel,Indonesia"
"Tian Di Ying Xiong 1200mg Capsule (天地英雄),Capsule,Orange;White,Oblong,No,Sildenafil,Xi La Sa Shi Ju Long Sheng Wu Ji Shu You Xian Gong  Si (西拉萨市巨龙生物技术有限公司),China"
"Shen Wei Brand Tian Di Ying Xiong 2000mg Capsule (神威牌天地英雄),Capsule,Pink,Oblong,No,Sildenafil,Tibet Lhasa Shenwei Bio-engineering Co. Ltd (西藏拉萨神威生物工程有限公司),China"
"Tosan Splay Daito,Liquid (Internal Use),Yellow,Nil,No,Lignocaine,Nil,Nil"
"Vitgo Oil,Liquid (External Use),Brown,Nil,No,Lignocaine,Nil,United States"
"Vimax 700mg Capsule (增大丸),Capsule,Blue;White,Oblong,No,Sildenafil,Nil,Nil"
"Li Zhi Yuan Brand Qiang Jing Wei Ge Wang Wu Bian Li 800mg Tablet (力之源牌强劲威哥王五鞭粒),Nil,Blue,Diamond,Yes,Lignocaine;Sildenafil;Tadalafil;Theophylline;Vardenafil,Gui Zhou Li Zhi Yuan Bao Jian Pin You Xian Gong Si (贵州力之源保健品有限公司),Nil"
"Wei Ge 99 2800mg Capsule (偉哥99),Capsule,Blue;White,Oblong,Yes,Sildenafil,Xi Zang La Sa Shi Li Long Sheng Wu Zhi Pin Gong Si (西藏拉萨市力龙生物制品公司),China"
"Baolong Brand Wu Ye Shen Clalis Capsule (寳龍牌五夜神胶囊),Capsule,Green,Oblong,No,Sildenafil,Nil,Nil"
"Tian Long Brand Te Zhi Wu Ye Shen Sheng Jing Pian 2000mg Tablet (天龙牌特制五夜神生精片),Nil,Yellow,Teardrop,Yes,Sildenafil,Nil,Nil"
"Jin Sheng Li Brand America Brother 1000mg Tablet (金聖力牌美国威哥王),Nil,Blue,Diamond,Yes,Sildenafil,Xi Zang Jin Sheng Li Bao Jian Pin You Xian Gong Si (西藏金聖力保健品有限公司),China"
"Jian Min Bao Jian Brand Wolf 2000mg Capsule (健民保健极品狼胶囊),Capsule,Red,Oblong,No,Sildenafil,Tibet Jianmin HealthCare Product Co. Ltd (西藏健民保健品有限公司),China"
"Li Long Brand Wu Di Wei Ge 2800mg Capsule (力龙牌无敌伟哥),Capsule,Blue;White,Oblong,Yes,Sildenafil,Xi Zang La Sa Li Long Sheng Wu Zhi Pin You Xian Gong  Si (西藏拉萨力龙生物制品有限公司),China"
"Wake Spray (金刚壹號),Spray,Nil,Nil,No,Lignocaine,Nil,Nil"
"Power 1 Singapore Brand Chao Nong Suo Pian Weibawang 800mg (强劲威霸王五鞭粒),Nil,Blue,Diamond,Yes,Sildenafil,Hai Kou Hong Da Yi Yao Bao Jian Pin Gong Si (海口宏大医药保健品公司),Nil"
"Li Long Brand Xi Yu Shen Bao 2800mg Tablet (力龙牌西域肾宝),Nil,Brown,Teardrop,Yes,Sildenafil,Xi Zang La Sa Shi Li Long Sheng Wu Zhi Pin Gong Si (西藏拉萨市力龙生物制品公司),China"
"Xing Ba Wang Capsule (性霸王),Capsule,Green,Oblong,Yes,Sildenafil,Nil,Nil"
"Xi Zang La Sa 500mg Tablet (西藏拉萨),Nil,Blue,Oblong,Yes,Sildenafil,Nil,Nil"
"Ye Tai Yang Jiao Nang 1800mg (野太陽胶囊),Capsule,Beige;Red,Oblong,No,Sildenafil,Xi Zang Jiu Chong Tian Sheng Wu Ke Ji You Xian Gong Si (西藏九重天生物科技有限公司),China"
"Baolong Brand Yilishen 2000mg Tablet (寳龍牌蚁力神片剂),Nil,Yellow,Oval,Yes,Sildenafil,Xi Zang La Sa Luo Ma Bao Jian Pin Gong Si (西藏拉萨罗马保健品公司),China"
"Di Liu Dai Yi Pao Dao Tian Liang 2000mg Yan Shi Jiao Nang (第六代一炮到天亮延时胶囊),Capsule,Black;Red,Oblong,Yes,Sildenafil;Tadalafil,Gui Zhou Hong Yuan Yi Yao Bao Jian Pin Gong Si (贵州宏源医药保健品公司),Nil"
"Yin De Kuai 2280mg Capsule (硬得快),Capsule,Red;Yellow,Oblong,No,Sildenafil,Xi Zang La Sa Shi Shen Li Bao Jian Pin You Xian Gong Si (西藏拉萨市神力保健品有限公司),China"
"Ying Xiong Sheng Li Pian 800mg Tablet (英雄生力片),Nil,Blue,Irregular,No,Sildenafil,La Sa Shi Li Da Bao Jian Pin You Xian Gong Si (拉萨市力达保健品有限公司),China"
"Yi Li Ting Capsule (一粒挺),Capsule,Blue;White,Oblong,No,Sildenafil,Nil,Nil"
"Shen Wei Brand Yi Li Wang 2000mg Tablet (神威牌蚁力王),Nil,Orange,Oval,Yes,Sildenafil,Xi Zang La Sa Shen Wei Sheng Wu Gong Cheng You Xian Gong Si (西藏拉萨神威生物工程有限公司),China"
"Di Er Dai Ye Lang Shen 2000mg Capsule (第二代夜狼神),Capsule,Maroon,Oblong,No,Sildenafil,Nil,Nil"
"Hong Sheng Brand Ye Ye Bu Dao 2500mg Tablet (宏圣牌夜夜不倒),Nil,Yellow,Teardrop,Yes,Sildenafil,Nil,Nil"
"Sheng Yang Brand Yi Li OK Capsule (升阳牌一粒OK),Capsule,Gold,Oblong,Yes,Sildenafil,Nil,Nil"
"Sheng Yang Brand Zhuang Gen Ying Da Wang 800mg Tablet (升阳牌壯根硬大王),Nil,Yellow,Teardrop,Yes,Sildenafil,Tibet Shengyang Health Medicine Co. Ltd (西藏升阳保健品有限公司),China"
"Tian Long Brand Yi Li Bo Qian Jin Capsule (天龙牌一粒博千金),Capsule,Orange;White,Oblong,No,Sildenafil,Nil,Nil"
"Zengcuzengda Yan Shi Pian 500mg Tablet (增粗增大延时片),Nil,Blue,Oblong,Yes,Sildenafil,Nil,Nil"
"Kang Li Brand Zhong Hua Niu Bian 1500mg Capsule (康力牌中华牛鞭 1500mg),Capsule,Grey;Orange,Oblong,No,Glibenclamide;Lignocaine;Norethisterone;Sibutramine;Sildenafil;Tadalafil,Qing Hai Shen Kang Li Sheng Wu Ke Ji Kai Fa You Xian Gong Si (青海省康力生物科技开发有限公司),Nil"
"Sheng Yang Brand Zhong Hua Niu Bian 800mg Tablet (升阳牌中华牛鞭),Nil,Yellow,Teardrop,Yes,Lignocaine;Sildenafil,Tibet Shengyang Health Medicine Co. Ltd (西藏升阳保健品有限公司),China"
"Tian Long Brand Di Wu Dai Zhuang Gen Jing Hua Su Sheng Jing Jiao Nang 2000mg (天龙牌第五代壯根精华素生精胶囊),Capsule,Red,Oblong,Yes,Sibutramine;Sildenafil;Tadalafil,Nil,Nil"
"Tianxiong Brand Zhuang Yang Wang 3000mg Capsule (天雄牌壯陽王),Capsule,White,Oblong,Yes,Sildenafil;Tadalafil,Xiang Gang Tian Xiong Yi Yao Sheng Wu Ji Shu You Xian Gong Si (香港天雄医药生物技术有限公司),China"
"Sunny Brand Zang Wang Xiong Ying Capsule (陽光牌藏王雄鹰),Capsule,Blue,Oblong,No,Sildenafil;Tadalafil,Tibet Yuthog Healthy Product Co. Ltd (中国西藏宇拓健康品有限公司),Nil"
"Xinyuan Brand Zang Mi Shen Wei 1280mg Capsule (鑫源牌藏秘神威）,Capsule,Green,Oblong,No,Sildenafil,Xi Zang Xin Yuan Sheng Wu Gong Cheng You Xian Gong Si (西藏鑫源生物工程有限公司）,China"
"Jin Sheng Li Brand Zhong Hua Niu Bao1800mg Pill (金聖力牌中華牛寳),Pill,Black,Round,No,Sildenafil;Tadalafil,Xi Zang Jin Sheng Li Bao Jian Pin You Xian Gong Si (西藏金聖力保健品有限公司),China"
"Aloe Vera Waste Discharging & Beauty 250mg Capsule (芦荟排毒养颜胶囊),Capsule,Green,Oblong,No,Sibutramine,Guang Zhou Kang Shi Yuan Sheng Wu Ke Ji Fa Zhan You Xian Gong Si (广州康仕源生物科技发展有限公司),China"
"Bo Er Gen 0.3g Capsule (勃尔根胶囊),Capsule,Red,Oblong,No,Sildenafil;Tadalafil,Nil,Nil"
"Brazil Basehr Nuts 250mg Capsule (第2代巴沙瘦身果),Capsule,Green,Oblong,No,Phenolphthalein;Sibutramine,Bei Jing Wan Jie Lang Yi Liao Ji Shu You Xian Gong Si & Guang Zhou Liu Zhi Mei Sheng Wu Ke Ji You Xian Gong Si (北京万杰朗医疗技术有限公司 & 广州柳之美生物科技有限公司),Nil"
"Drpharm Brand Emperor Capsule 0.5g (博龍牌黄帝聖丹膠囊),Capsule,Blue;Transparent,Oblong,Yes,Sildenafil,Zhong Guo Hai Nan Bo Da Zhi Yao Chang (中国.海南博大制药厂),China"
"expressherbals No.1 Mens Supplement Worldwide 500mg Capsule,Capsule,White,Oblong,No,Sildenafil,Nil,Nil"
"Yi Li Shen Huichunruyi Jiaonang 0.25g (1力神回春如意胶囊),Capsule,Black;Red,Oblong,No,Sildenafil,Shan Xi Sheng Tian Xing Sheng Hua Zhi Yao You Xian Gong Si (山西省天星生化制药有限公司),Nil"
"Aliba (阿里巴巴男士性功能专用),Capsule,Blue,Oblong,Yes,Sildenafil;Tadalafil;Vardenafil,Nil,Nil"
"Kangli Bao Jian Niu Bian Da Bu Wan 1.5g (康力保健牛鞭大补丸 1.5g),Pill,Black,Oval,No,Sildenafil,延吉康力保健品有限公司,Nil"
"Heng Yue Brand Jiu Bian Li 600mg Tablet (恒悦牌九鞭粒),Nil,Blue,Diamond,Yes,Sildenafil,La Sa Shi Heng Yue Bao Jian Pin You Xian Gong Si (拉萨市恒悦保健品有限公司),China"
"S-Shape II 0.3g Capsule (瘦身の语 III),Capsule,Pink,Oblong,No,Sibutramine,Fu Jian Sheng Xing Fu Sheng Wu Ke Ji You Xian Gong Si (福建省幸福生物科技有限公司),China"
"Stree Overlord 4800mg Capsule (街头霸王),Capsule,Orange,Oblong,Yes,Sildenafil,Japanese Mayo Kaisha Pharmacy Export Ltd (日本岗本株式会社制药出口有限公司),Nil"
"Mei Guo Xin Yi Dai ShenLiWeiGe 2800mg Capsule (美国新一代神力伟哥),Capsule,Blue;White,Oblong,No,Metronidazole;Sildenafil;Tadalafil,Xiang Gang Shen Long Bao Jian Pin Jin Chu Kou Gong Si (香港神龙保健品进出口公司),Hong Kong"
"Sliming Essence 500mg Capsule (火速消脂精華膠囊),Capsule,Maroon,Oblong,No,Sibutramine,Guang Zhou Shi Bao Jian Yuan Sheng Wu Ke Ji You Xian Gong Si (广州市保健园生物科技有限公司),China"
"Teng Huang Guo Shou Shen Jin Fu 0.3g Capsule (藤黄果瘦身紧肤胶囊),Capsule,Orange;White,Oblong,No,Sibutramine,Han Guo  Fu Shan Shi Jian Zhi Mei Zhu Shi Hui She (韩国釜山市健之美株式会社),China"
"VPXL 500mg Capsule (White),Capsule,White,Oblong,No,Sibutramine;Sildenafil;Tadalafil,Nil,Nil"
"Shenwei Brand Maxman Tablets 3800mg (神威牌 MaxMan 3800mg),Nil,Blue,Round,Yes,Sibutramine;Sildenafil,美国百家乐生物技术有限公司 西藏神威健康药业国际集团(香港)发展有限公司联合制造,Nil"
"Ding Xin Brand YiLiShen 0.4g Capsule (鼎鑫牌蚁力神胶囊),Capsule,Grey;Orange,Oblong,Yes,Sildenafil,Sino-foreign Joint Venture Shenyang Changgang Yibao Wine Co. Ltd (中外合资沈阳长港蚁宝酒业有限公司),China"
"Yu Mei Tang Shou Shen Jin Fu Xian Xian Jian Fei Jiao Nang 300mg (御美堂瘦身紧肤纤纤减肥胶囊(第三代加强型)),Capsule,Orange;White,Oblong,No,Sibutramine,Bao Ding Xian Mei Shi Ye You Xian Gong Si (保定纤美实业有限公司),China"
"Zang Jing Dan (藏精丹),Pill,Black,Round,No,Sildenafil,Xi Zang Chang Du Ri Tong Zang Yi Yao Yan Zhi Zhong Xin Zang Yao Chang (西藏昌都日通藏医药研制中心藏药厂),Nil"
"Sheng Yuan Brand Zang Niu Bian Huo Li Jiao Nang 800mg (圣源牌藏牛鞭活力胶囊),Capsule,Maroon,Oblong,No,Phenolphthalein;Sibutramine;Sildenafil,Xi Zang Sheng Yuan Sheng Wu Bao Jian Pin Gong Si (西藏圣源生物保健品公司),China"
"Zhen De Shou Fat Loss Capsule 250mg (神仙叶牌真得瘦清脂胶囊),Capsule,Green,Oblong,No,Phenolphthalein;Sibutramine,Guang Zhou Liu Zhi Mei Sheng Wu Ke Ji You Xian Gong Si & Guang Zhou Bo Mei Sheng Wu Bao Jian Pin You Xian Gong Si (广州柳之美生物科技有限公司 & 广州博美生物保健品有限公司),Nil"
"Tian Long Brand Di Liu Dai Zhuang Gen Jing Hua Su Sheng Jing Jiao Nang 5000mg (天龙牌第六代壯根精华素生精胶囊),Capsule,Red,Oblong,Yes,Sildenafil;Tadalafil,Nil,Nil"
"Oto Brand Qing Tian Zhu Capsule (Oto擎天柱牌健力胶囊),Capsule,Red,Oblong,Yes,Tadalafil,Shan Xi Jian Yang Yi Yao Bao Jian Pin You Xian Gong Si (陕西健阳医药保健品有限公司),Nil"
"Qing Guo Su 0.35g Capsule (青果素韵美姿减肥胶囊),Capsule,Beige,Oblong,Yes,Phenolphthalein;Sibutramine,Xia Xi Yang Chun Tang Sheng Wu Yi Yao You Xian Gong Si (陜西养春堂生物医药有限公司),China"
"Kang Bo Si Jian Fei Jiao Nang 350mg (康柏丝减肥胶囊),Capsule,Green,Oblong,No,Phenolphthalein;Sibutramine,Xin Xi Lan Ao Ke Lan Jian Kang Shi Pin Ji Tuan You Xian Gong Si (新西兰奥克兰健康食品集团有限公司),China"
"Li Long Brand Ling Tou Lang 2800mg Capsule (力龙牌领头狼),Capsule,Blue;White,Oblong,Yes,Sildenafil,Xi Zang La Sa Shi Li Long Sheng Wu Zhi Pin Gong Si (西藏拉萨市力龙生物制品公司),China"
"Tianxiong Brand Lion USA 8000mg Tablet (天雄牌美国雄狮),Nil,Brown,Oblong,Yes,Sildenafil,Nil,Nil"
"LNH Solutions 500mg Capsule,Capsule,White,Oblong,No,Sildenafil,Nil,Nil"
"Shenwei Brand San Bian Shen Li Wan 3800mg (神威牌三鞭神力丸3800mg),Nil,Blue,Round,Yes,Sibutramine;Sildenafil,美国百家乐生物技术有限公司 西藏神威健康药业国际集团(香港)发展有限公司联合制造,Nil"
"OMAX Mutual Slimming Pills 0.3g (Day) (澳美斯超能燃脂素瘦身丸(日间装)),Capsule,White,Oblong,Yes,Phenolphthalein;Sibutramine,Fu Jian Shen Xing Fu Sheng Wu Ke Ji You Xian Gong Si (福建省幸福生物科技有限公司),China"
"OMAX Mutual Slimming Pills 0.3g (Night) (澳美斯超能燃脂素瘦身丸(夜间装)),Capsule,Blue,Oblong,Yes,Phenolphthalein;Sibutramine,Fu Jian Shen Xing Fu Sheng Wu Ke Ji You Xian Gong Si (福建省幸福生物科技有限公司),China"
"MaxGain+ 500mg Capsule,Capsule,White,Oblong,No,Sildenafil,Nil,Nil"
"MaxHerbal No. 1 Dietary Supplement for Men 500mg Capsule,Capsule,White,Oblong,No,Sibutramine;Sildenafil,Nil,Nil"
"Liu Mei Brand Natural Slimming 450mg Capsule (柳美牌自然瘦),Capsule,Pearl,Oblong,No,Phenolphthalein;Sibutramine,Guang Zhou Liu Zhi Mei Sheng Wu Ke Ji You Xian Gong Si (广州柳之美生物科技有限公司),China"
"Tusuk Jari Asam Urat Untuk Pria Dan Wanita Capsule,Capsule,Beige;Red,Oblong,Yes,Dexamethasone;Diclofenac;Paracetamol,UD. AM Jaya,Indonesia"
"King Brand Black King 1800mg Capsule (黑金刚),Capsule,Gold,Oblong,Yes,Sildenafil,Shengyang HealthCare Corporation of Tibet (西藏升阳保健品有限公司),Nil"
"Super-Slim Capsule (减肥果绿色瘦身胶囊),Capsule,Green;White,Oblong,No,Phenolphthalein;Sibutramine,Nil,Nil"
"MMC Mahman Capsules (Maxman 3000mg Capsules),Pill,Black;White,Oblong& Round,Yes,Phenolphthalein;Sibutramine;Sildenafil,Qinghai Province Xining City Ailida Biotechnology Co. Ltd,China"
"Aidi Brand Wodibo Capsule (艾迪牌五便宝胶囊),Capsule,Blue,Oblong,No,Sildenafil;Tadalafil,Shang Qiu Shi Ai Di Bao Jian Pin You Xian Gong Si &Shang Hai Bao Ni Kang Bao Jian Pin You Xian Gong Si Zong Jing Xiao (商丘市艾迪保健品有限公司 & 上海保尼康保健品有限公司总经销),Nil"
"XP Tongkat Ali Supreme For Men 500mg Capsule,Capsule,Beige,Oblong,No,Tadalafil,Nil,Nil"
